Iteration,ee_instrument,simplifycfg,ipsccp,called_value_propagation,basicaa,instcombine,inline,mergereturn,jump_threading,pgo_memop_opt,tailcallelim,licm,sink,gvn,sccp,adce,Performance
214,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,66546.4
215,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,58231.0
216,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,73063.6
217,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,53919.8
218,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,63592.8
219,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,63058.2
220,0,1,0,0,0,0,0,1,0,0,1,0,1,1,1,0,60701.8
221,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,73218.4
222,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,53919.8
223,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,63592.8
224,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,63235.0
225,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,59308.6
226,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,53919.8
227,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,53919.8
228,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,53919.8
229,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,53919.8
230,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,53919.8
231,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,53919.8
232,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,53919.8
233,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,53919.8
234,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,53919.8
235,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,53919.8
236,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,53919.8
237,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,53919.8
238,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,53919.8
239,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,53919.8
240,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,53919.8
241,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,53919.8
242,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,53919.8
243,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,53919.8
244,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,53919.8
245,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,53919.8
246,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,53919.8
247,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,53919.8
248,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,53919.8
249,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,54172.6
250,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,1,76760.8
251,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,53919.8
252,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,59726.6
253,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,63240.8
254,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,60326.6
255,0,1,0,1,0,0,0,1,0,0,0,0,1,1,1,0,72458.4
256,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,58857.0
257,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,53919.8
258,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,59726.6
259,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,63240.8
260,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,60326.6
261,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,58231.0
262,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,73063.6
263,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,53919.8
264,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,63592.8
265,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,59532.0
266,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,60562.2
267,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,72454.0
268,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,58857.0
269,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,53919.8
270,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,63592.8
271,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,63058.2
272,1,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,59727.6
273,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,71818.2
274,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,58857.0
275,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,53919.8
276,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,63592.8
277,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,63058.2
278,1,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,59727.6
279,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,57673.4
280,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,73063.6
281,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,53919.8
282,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,63592.8
283,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,63235.0
284,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,59731.4
285,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,57673.4
286,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,73063.6
287,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,53919.8
288,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,59726.6
289,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,63240.8
290,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,60562.2
291,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,58453.6
292,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,73063.6
293,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,53919.8
294,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,59726.6
295,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,63240.8
296,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,60326.6
297,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,58231.0
298,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,73063.6
299,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,53919.8
