Iteration,topology.workers,component.bolt_num,topology.acker.executors,message.size,component.spout_num,topology.serialized.message.size.metrics,topology.max.spout.pending,storm.messaging.netty.min_wait_ms,topology.transfer.buffer.size,storm.messaging.netty.max_wait_ms,topology.level,topology.priority,Performance
181,4,1,2,10,10,0,1000,10,512,100,5,29,0.20915283425620185
182,2,1,4,1000000,1,1,1,1000,1024,10000,2,29,0.0013901465006890578
183,4,1,2,1000000,10,0,1000,10,512,10000,2,29,2.2600766275177886e-05
184,4,1,2,10,10,1,1000,1000,1024,100,2,29,1.3940351127353205e-05
185,4,10,4,1000000,10,0,1,10,512,10000,5,29,3.672544957447498e-05
186,2,1,2,10,10,1,1000,1000,1024,10000,2,0,0.7784840488257114
187,4,1,4,1000000,10,0,1,10,512,10000,2,29,1.9022408723590402e-05
188,4,1,2,10,10,0,1000,10,512,100,5,29,0.20913605362604368
189,2,1,4,1000000,1,1,1,1000,1024,10000,2,29,0.0014158803020120272
190,4,1,2,1000000,10,0,1000,10,512,10000,2,29,5.0545179714326304e-05
191,4,1,2,10,10,1,1000,1000,1024,100,2,29,3.5367874780586593e-05
192,4,10,4,1000000,10,0,1,10,512,10000,5,29,2.6242526106046383e-05
193,2,1,2,10,10,1,1000,1000,1024,10000,2,0,0.7785095806905519
194,4,1,4,1000000,10,0,1,10,512,10000,2,29,2.34175907994462e-06
195,4,1,2,10,10,0,1000,10,512,100,5,29,0.20911957367626188
196,2,1,4,1000000,1,1,1,1000,1024,10000,2,29,0.0013940361536066803
197,4,1,2,1000000,10,0,1000,10,512,10000,2,29,1.704428968540076e-05
198,4,1,2,10,10,1,1000,1000,1024,100,2,29,1.862277826453157e-05
199,4,10,4,1000000,10,0,1,10,512,10000,5,29,3.7526323010761645e-05
200,2,1,2,10,10,1,1000,1000,1024,10000,2,0,0.7784924825348523
201,4,1,4,1000000,10,0,1,10,512,10000,2,29,2.802711488362464e-05
202,4,1,2,10,10,0,1000,10,512,100,5,29,0.2091494747393953
203,2,1,4,1000000,10,1,1,1000,1024,10000,2,29,1.9200635227438666e-05
204,4,1,2,1000000,1,0,1000,10,512,10000,2,29,1.2044794367785833e-05
205,2,1,4,1000000,10,0,1,10,512,10000,5,0,9.44924064274413e-06
206,2,1,4,1000000,10,0,1,10,512,10000,5,0,8.411380874753333e-06
207,2,1,4,1000000,10,0,1,10,512,10000,5,0,1.899799805244417e-05
208,2,1,4,1000000,10,0,1,10,512,10000,5,0,3.0633887744777735e-06
209,2,1,4,1000000,10,0,1,10,512,10000,5,0,1.0416576958250595e-05
210,2,1,4,1000000,10,0,1,10,512,10000,5,0,8.416119908245409e-06
211,2,1,4,1000000,10,0,1,10,512,10000,5,0,3.4110171208406513e-07
212,2,1,4,1000000,10,0,1,10,512,10000,5,0,1.85501137654047e-05
213,2,1,4,1000000,10,0,1,10,512,10000,5,0,9.796315702228646e-06
214,2,1,4,1000000,10,0,1,10,512,10000,5,0,2.376554280178327e-06
215,2,1,4,1000000,10,0,1,10,512,10000,5,0,0.0
216,2,1,4,1000000,10,0,1,10,512,10000,5,0,2.6820402914335123e-05
217,2,1,4,1000000,10,0,1,10,512,10000,5,0,1.9513458378251244e-05
218,2,1,4,1000000,10,0,1,10,512,10000,5,0,2.1551082445567342e-05
219,2,1,4,1000000,10,0,1,10,512,10000,5,0,4.054132616155562e-06
220,2,1,4,1000000,10,0,1,10,512,10000,5,0,1.0024147557555405e-05
221,4,1,2,10,10,1,1000,1000,1024,100,2,29,2.8692971817993034e-05
222,2,1,4,1000000,10,0,1,10,512,10000,5,0,1.440490131454777e-05
223,4,10,2,10,10,1,1000,10,512,10000,2,29,1.527991540267999e-05
224,4,1,4,1000000,10,0,1,1000,1024,10000,2,29,0.005828236370913923
225,4,1,2,1000000,10,0,1000,10,512,100,5,29,3.681740273324598e-05
226,2,1,4,10,10,1,1,1000,1024,10000,2,29,0.15015777107229739
227,4,1,2,1000000,1,0,1000,10,512,10000,2,0,3.603972163315333e-05
228,4,1,4,10,10,1,1,10,512,10000,5,29,2.3308583137419718e-05
229,2,1,2,1000000,10,0,1000,1000,1024,100,2,29,8.738171878605451e-06
230,4,10,4,1000000,10,0,1,10,512,10000,2,29,3.480817723441651e-05
231,4,1,2,10,10,1,1000,1000,1024,10000,5,29,0.20077186052056478
232,2,1,4,1000000,10,0,1,10,512,10000,2,29,2.905652835576087e-05
233,4,1,2,10,10,1,1000,10,512,100,2,0,0.5394498690578036
234,4,1,2,1000000,10,0,1000,1000,1024,10000,5,29,1.1847035416997253e-05
235,2,1,4,1000000,1,0,1,10,512,10000,2,29,2.8413827623124266e-05
236,4,1,2,10,10,1,1000,1000,1024,100,2,29,1.608320529654429e-05
237,4,1,4,1000000,10,0,1,10,512,10000,5,0,2.7159640007619433e-05
238,2,10,2,10,10,0,1000,10,512,10000,2,29,2.486154960290992e-07
239,4,1,4,1000000,10,1,1,1000,1024,10000,2,29,0.005454099918531802
240,2,1,2,1000000,10,0,1000,10,512,100,5,29,8.483303945421217e-06
241,4,1,4,10,10,1,1,1000,1024,10000,2,29,0.1445476019068201
242,4,1,2,1000000,1,0,1000,10,512,10000,2,0,2.0302130874015265e-05
243,2,1,4,10,10,0,1,10,512,10000,5,29,1.051122473454435e-05
244,4,1,2,1000000,10,1,1000,1000,1024,100,2,29,1.092085161240461e-05
245,4,1,4,1000000,10,0,1,10,512,10000,5,29,1.6660294562273448e-05
246,2,10,2,10,10,1,1000,10,512,10000,2,0,3.761119083029428e-05
247,4,1,4,1000000,10,0,1,1000,1024,10000,2,29,0.005838042455114027
248,2,1,2,1000000,10,0,1000,10,512,100,5,29,1.9475130677873157e-05
249,4,1,4,10,10,1,1,1000,1024,10000,2,29,0.14456427073431838
250,4,1,2,1000000,1,0,1000,10,512,10000,2,0,1.1367997591426058e-05
251,2,1,4,10,10,0,1,10,512,10000,5,29,2.4082717426844306e-05
252,4,1,2,1000000,10,1,1000,1000,1024,100,2,29,3.2416368905856915e-05
253,4,1,4,1000000,10,0,1,10,512,10000,5,29,1.8381119638593773e-05
254,2,10,2,10,10,1,1000,10,512,10000,2,0,1.8587097292733938e-05
255,4,1,4,1000000,10,0,1,1000,1024,10000,2,29,0.005835239030899407
256,2,1,2,1000000,10,0,1000,10,512,100,5,29,1.2910814829496506e-05
257,4,1,4,10,10,1,1,1000,1024,10000,2,29,0.1445648265209128
258,4,1,2,1000000,10,0,1000,10,512,10000,5,0,2.5290948371216407e-05
259,2,1,4,10,1,0,1,10,512,10000,2,29,1.985556487275374e-05
260,4,1,2,1000000,10,1,1000,1000,1024,10000,2,29,4.938686770738763e-06
261,4,1,2,1000000,10,0,1000,10,512,100,5,0,3.479930986354588e-05
262,4,1,2,10,10,0,1000,10,512,10000,2,29,2.3364639459903705e-05
263,4,10,2,1000000,10,1,1000,1000,1024,10000,5,29,4.6461803564834375e-07
264,4,1,2,1000000,10,0,1000,10,512,10000,2,29,2.870688190014571e-06
265,2,1,2,1000000,10,0,1000,10,512,100,5,0,1.4638886873539225e-05
266,2,1,2,1000000,10,1,1000,1000,1024,10000,5,0,5.524988953938969e-06
267,4,1,2,1000000,1,0,1000,10,512,10000,5,0,2.779816039970476e-05
268,2,1,2,1000000,10,1,1000,10,512,10000,5,0,2.3301580529864455e-05
269,4,1,2,10,10,0,1000,1000,1024,100,2,29,2.744995651461416e-05
270,4,1,2,10,10,0,1000,10,512,10000,2,29,1.6643589018982003e-05
