Iteration,spset-old-default,spset-autotuned-fh_1_0,spset-autotuned-fh_1_1,spset-autotuned-fh_1_2,spset-sw-verif,spset-hw-bmc,sp-var-dec-heur,sp-learned-clause-sort-heur,sp-orig-clause-sort-heur,sp-res-order-heur,sp-clause-del-heur,sp-phase-dec-heur,sp-resolution,sp-use-pure-literal-rule,Performance
283,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0.0009836150999750798
284,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.9920302094046163
285,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0.0009958753526249904
286,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0009747482397792565
287,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0.0010099536962805825
288,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0009751264129446976
289,0,0,0,0,1,1,0,0,1,0,1,0,1,1,0.006955987561629952
290,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0.0009895983299832638
291,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0010043590674404408
292,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0.0009898908742310291
293,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.992069813958738
294,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0.000995745518482011
295,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0009770310489126573
296,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0.001002376320068463
297,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0009968096601269964
298,0,0,0,0,1,1,0,0,1,0,1,0,1,1,0.006940150991249746
299,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0.001003375059327768
